train_number,coach_number,class,num_seats,price_per_km
00102,A1,1A,48,6
00102,A2,1A,48,6
00102,A3,1A,48,6
00102,A4,1A,48,6
00102,B1,2A,56,4
00102,B2,2A,56,4
00102,C1,3A,56,2
00102,C2,3A,56,2
00102,D1,3E,72,4
00102,D2,3E,72,4
00102,D3,3E,72,4
00102,D4,3E,72,4
00102,E1,EC,72,5
00102,E2,EC,72,5
00102,F1,CC,72,3
00102,S1,SL,84,1.5
00102,S2,SL,84,1.5
00102,S3,SL,84,1.5
00102,S1,2S,84,1
00102,S2,2S,84,1
00102,S3,2S,84,1
00102,S4,2S,84,1
00103,A1,1A,48,6
00103,A2,1A,48,6
00103,A3,1A,48,6
00103,B1,2A,56,4
00103,B2,2A,56,4
00103,C1,3A,56,2
00103,C2,3A,56,2
00103,C3,3A,56,2
00103,D1,3E,72,4
00103,D2,3E,72,4
00103,D3,3E,72,4
00103,D4,3E,72,4
00103,D5,3E,72,4
00103,E1,EC,72,5
00103,E2,EC,72,5
00103,E3,EC,72,5
00103,E4,EC,72,5
00103,F1,CC,72,3
00103,F2,CC,72,3
00103,F3,CC,72,3
00103,F4,CC,72,3
00103,S1,SL,84,1.5
00103,S2,SL,84,1.5
00103,S1,2S,84,1
00103,S2,2S,84,1
00103,S3,2S,84,1
00104,A1,1A,48,6
00104,A2,1A,48,6
00104,A3,1A,48,6
00104,B1,2A,56,4
00104,B2,2A,56,4
00104,B3,2A,56,4
00104,B4,2A,56,4
00104,C1,3A,56,2
00104,D1,3E,72,4
00104,D2,3E,72,4
00104,D3,3E,72,4
00104,E1,EC,72,5
00104,E2,EC,72,5
00104,F1,CC,72,3
00104,F2,CC,72,3
00104,F3,CC,72,3
00104,S1,SL,84,1.5
00104,S2,SL,84,1.5
00104,S3,SL,84,1.5
00104,S4,SL,84,1.5
00104,S1,2S,84,1
00107,A1,1A,48,6
00107,A2,1A,48,6
00107,B1,2A,56,4
00107,B2,2A,56,4
00107,B3,2A,56,4
00107,B4,2A,56,4
00107,C1,3A,56,2
00107,D1,3E,72,4
00107,D2,3E,72,4
00107,D3,3E,72,4
00107,E1,EC,72,5
00107,E2,EC,72,5
00107,E3,EC,72,5
00107,E4,EC,72,5
00107,F1,CC,72,3
00107,F2,CC,72,3
00107,S1,SL,84,1.5
00107,S2,SL,84,1.5
00107,S3,SL,84,1.5
00107,S4,SL,84,1.5
00107,S5,SL,84,1.5
00107,S1,2S,84,1
00107,S2,2S,84,1
00109,A1,1A,48,6
00109,A2,1A,48,6
00109,B1,2A,56,4
00109,B2,2A,56,4
00109,B3,2A,56,4
00109,B4,2A,56,4
00109,C1,3A,56,2
00109,C2,3A,56,2
00109,D1,3E,72,4
00109,D2,3E,72,4
00109,E1,EC,72,5
00109,E2,EC,72,5
00109,E3,EC,72,5
00109,F1,CC,72,3
00109,F2,CC,72,3
00109,F3,CC,72,3
00109,S1,SL,84,1.5
00109,S2,SL,84,1.5
00109,S3,SL,84,1.5
00109,S4,SL,84,1.5
00109,S5,SL,84,1.5
00109,S1,2S,84,1
00109,S2,2S,84,1
00109,S3,2S,84,1
