train_number,station_code,arrival_time,departure_time,distance_covered
00851,BBS,00:00:00,22:50:00,0
00851,BAM,01:10:00,01:12:00,166
00851,VSKP,05:10:00,05:30:00,443
00851,BZA,11:10:00,11:20:00,793
00851,RU,16:42:00,16:52:00,1169
00851,JTJ,20:35:00,20:37:00,1367
00851,BNC,22:40:00,00:00:00,1511
00852,BNC,00:00:00,01:00:00,0
00852,JTJ,03:30:00,03:32:00,144
00852,RU,06:45:00,06:55:00,342
00852,BZA,12:20:00,12:30:00,718
00852,VSKP,18:00:00,18:20:00,1069
00852,BAM,22:35:00,22:37:00,1345
00852,BBS,01:45:00,00:00:00,1511
01081,DR,00:00:00,21:45:00,0
01081,TNA,22:03:00,22:05:00,25
01081,KYN,22:22:00,22:45:00,45
01081,IGP,00:05:00,00:10:00,128
01081,NK,00:52:00,00:55:00,179
01081,CSN,02:30:00,02:32:00,319
01081,JL,03:27:00,03:30:00,412
01081,BSL,05:00:00,00:00:00,436
01082,BSL,00:00:00,08:35:00,0
01082,JL,09:00:00,09:03:00,25
01082,CSN,09:50:00,09:52:00,117
01082,NK,11:20:00,11:25:00,258
01082,IGP,13:25:00,13:30:00,308
01082,KYN,15:10:00,15:13:00,391
01082,TNA,15:33:00,15:35:00,412
01082,DR,16:20:00,00:00:00,436
01149,BSL,00:00:00,18:35:00,0
01149,JL,19:10:00,19:13:00,25
01149,PC,19:43:00,19:45:00,72
01149,CSN,21:30:00,00:00:00,117
01150,CSN,00:00:00,21:50:00,0
01150,PC,22:20:00,22:35:00,45
01150,JL,23:07:00,23:10:00,93
01150,BSL,23:35:00,00:00:00,117
01151,CSN,00:00:00,21:55:00,0
01151,JMD,22:09:00,22:10:00,15
01151,SHF,22:33:00,22:35:00,36
01151,DHI,23:05:00,00:00:00,57
01152,DHI,00:00:00,05:20:00,0
01152,SHF,05:45:00,05:47:00,21
01152,JMD,06:08:00,06:30:00,43
01152,CSN,06:50:00,00:00:00,57
01153,CSN,00:00:00,07:45:00,0
01153,NGN,08:16:00,08:17:00,43
01153,MMR,08:50:00,09:00:00,68
01153,LS,09:18:00,09:19:00,93
01153,NK,09:52:00,09:55:00,141
01153,DVL,10:01:00,10:03:00,147
01153,IGP,11:10:00,11:15:00,191
01153,KSRA,11:44:00,11:45:00,207
01153,KYN,12:45:00,12:48:00,275
01153,TNA,13:09:00,13:11:00,295
01153,DR,13:34:00,13:35:00,319
01153,CSTM,13:45:00,00:00:00,328
01154,CSTM,00:00:00,15:35:00,0
01154,DR,15:49:00,15:52:00,9
01154,TNA,16:19:00,16:21:00,34
01154,KYN,16:42:00,16:45:00,54
01154,KSRA,17:55:00,18:00:00,121
01154,IGP,18:25:00,18:30:00,137
01154,DVL,19:03:00,19:05:00,182
01154,NK,19:11:00,19:14:00,188
01154,LS,19:47:00,19:48:00,236
01154,MMR,20:05:00,20:15:00,261
01154,NGN,20:33:00,20:34:00,286
01154,CSN,21:10:00,00:00:00,328
01156,JM,07:40:00,08:20:00,673
01156,PVR,00:00:00,16:00:00,0
01156,KMN,08:40:00,00:00:00,685
01156,KWV,17:10:00,17:35:00,53
01156,JEUR,18:08:00,18:10:00,87
01156,BGVN,19:05:00,19:07:00,134
01156,DD,20:10:00,20:20:00,162
01156,ANG,21:55:00,22:00:00,246
01156,BAP,23:00:00,23:03:00,313
01156,KPG,00:10:00,00:13:00,357
01156,MMR,01:20:00,01:45:00,399
01156,NGN,02:10:00,02:15:00,424
01156,CSN,02:40:00,02:45:00,466
01156,PC,03:40:00,04:25:00,511
01156,JL,04:50:00,04:55:00,558
01156,BSL,05:30:00,05:50:00,583
01156,BDWD,06:25:00,06:30:00,613
01156,MKU,06:45:00,06:50:00,633
01156,NN,07:15:00,07:20:00,661
01156,JM,07:40:00,08:00:00,673
01156,SEG,08:10:00,08:15:00,685
01156,AK,08:45:00,08:50:00,722
01156,MZR,09:25:00,09:30:00,760
01156,BD,10:10:00,10:15:00,801
01156,NAVI,10:40:00,00:00:00,807
01401,SUR,00:00:00,15:20:00,0
01401,MO,15:49:00,15:50:00,34
01401,MA,16:15:00,16:16:00,63
01401,KWV,16:30:00,16:50:00,79
01401,BTW,17:35:00,17:37:00,116
01401,UMD,18:15:00,18:18:00,153
01401,LUR,19:50:00,20:00:00,232
01401,LTRR,20:30:00,20:55:00,265
01401,PRLI,22:40:00,23:05:00,328
01401,PBN,01:00:00,01:05:00,392
01401,PAU,01:35:00,01:45:00,420
01401,HNL,04:00:00,04:01:00,501
01401,WHM,04:50:00,04:51:00,548
01401,AK,07:40:00,07:55:00,627
01401,MZR,08:22:00,08:25:00,665
01401,BD,09:15:00,09:20:00,706
